Sie lachte mich aus.	She laughed at me.
180	ab	Ab jetzt machen wir es so.	From now on, we'll do it this way.	_____ jetzt machen wir es so.	<b>Ab</b> jetzt machen wir es so.
180	ab	Ich kann ihn nicht ab.	I can't stand him.	Ich kann ihn nicht _____.	Ich kann ihn nicht <b>ab</b>.
183	mutter	Ich will meine Mutter.	I want my mom.	Ich will meine _____.	Ich will meine <b>Mutter</b>.
183	mutter	Maria ist Mutter.	Mary is a mother.	Maria ist _____.	Maria ist <b>Mutter</b>.
184	zimmer	Kommt ins Zimmer.	Come into the room.	Kommt ins _____.	Kommt ins <b>Zimmer</b>.
185	getan	Du hast es getan!	You've done it!	Du hast es _____!	Du hast es <b>getan</b>!
186	zwei	Da sind nur wir zwei.	There are just two of us.	Da sind nur wir _____.	Da sind nur wir <b>zwei</b>.
188	dort	Sie sind dort.	They're there.	Sie sind _____.	Sie sind <b>dort</b>.
190	niemand	Niemand ist da.	There's nobody there.	_____ ist da.	<b>Niemand</b> ist da.
190	niemand	Niemand kam.	No one came.	_____ kam.	<b>Niemand</b> kam.
191	sicher	Aber sicher doch!	Of course!	Aber _____ doch!	Aber <b>sicher</b> doch!
191	sicher	Bist du sicher?	Are you sure about this?	Bist du _____?	Bist du <b>sicher</b>?
192	ohne	Sie kann ohne ihn nicht leben.	She can't live without him.	Sie kann _____ ihn nicht leben.	Sie kann <b>ohne</b> ihn nicht leben.
192	ohne	Sind Sie ohne Arbeit?	Are you out of work?	Sind Sie _____ Arbeit?	Sind Sie <b>ohne</b> Arbeit?
193	wollen	Was wollen Sie essen?	What would you like to eat?	Was _____ Sie essen?	Was <b>wollen</b> Sie essen?
193	wollen	Wir wollen es.	We want it.	Wir _____ es.	Wir <b>wollen</b> es.
194	frage	Ich frage mich, warum.	I wonder why.	Ich _____ mich, warum.	Ich <b>frage</b> mich, warum.
194	frage	Was war die Frage?	What was the question?	Was war die _____?	Was war die <b>Frage</b>?
198	hund	Wo ist der Hund?	Where's the dog?	Wo ist der _____?	Wo ist der <b>Hund</b>?
201	gehört	Das Auto gehört mir.	I own this car.	Das Auto _____ mir.	Das Auto <b>gehört</b> mir.
201	gehört	Es gehört dir.	It's yours.	Es _____ dir.	Es <b>gehört</b> dir.
201	gehört	Hast du das gehört?	Did you hear that?	Hast du das _____?	Hast du das <b>gehört</b>?
204	seiner	Alles zu seiner Zeit.	There is a right time for everything.	Alles zu _____ Zeit.	Alles zu <b>seiner</b> Zeit.
207	sollen	Was sollen wir tun?	What do you want us to do?	Was _____ wir tun?	Was <b>sollen</b> wir tun?
207	sollen	Wie hätte ich das wissen sollen?	How could I have possibly known that?	Wie hätte ich das wissen _____?	Wie hätte ich das wissen <b>sollen</b>?
208	soll	Er soll es haben!	He shall have it.	Er _____ es haben!	Er <b>soll</b> es haben!
208	soll	Soll ich gehen?	Shoul I leave?	_____ ich gehen?	<b>Soll</b> ich gehen?
208	soll	Was soll das?	What's the point?	Was _____ das?	Was <b>soll</b> das?
209	weg	Alles ist weg.	Everything's gone.	Alles ist _____.	Alles ist <b>weg</b>.
209	weg	Gehen Sie weg.	Leave us.	Gehen Sie _____.	Gehen Sie <b>weg</b>.
209	weg	Ich bin weg.	I'm out of here.	Ich bin _____.	Ich bin <b>weg</b>.
210	zurück	Ich muss zurück.	I have to go back.	Ich muss _____.	Ich muss <b>zurück</b>.
210	zurück	Lassen Sie alles zurück.	Leave everything.	Lassen Sie alles _____.	Lassen Sie alles <b>zurück</b>.
212	allein	Ich bin allein.	I'm on my own.	Ich bin _____.	Ich bin <b>allein</b>.
212	allein	Kommt allein.	Come alone.	Kommt _____.	Kommt <b>allein</b>.
213	lernen	Ich muss lernen.	I've got some studying to do.	Ich muss _____.	Ich muss <b>lernen</b>.
216	paar	Wir sind kein Paar.	We're not partners.	Wir sind kein _____.	Wir sind kein <b>Paar</b>.
217	hilfe	Er kam mir zu Hilfe.	He came to my rescue.	Er kam mir zu _____.	Er kam mir zu <b>Hilfe</b>.
217	hilfe	Ich will Toms Hilfe nicht.	I don't want Tom's help.	Ich will Toms _____ nicht.	Ich will Toms <b>Hilfe</b> nicht.
218	gern	So mag er es gern.	That's how he likes it.	So mag er es _____.	So mag er es <b>gern</b>.
219	geben	Geben Sie sich nicht mit ihm ab.	Don't keep company with him.	_____ Sie sich nicht mit ihm ab.	<b>Geben</b> Sie sich nicht mit ihm ab.
219	geben	Wir geben auf.	We're giving up.	Wir _____ auf.	Wir <b>geben</b> auf.
223	damit	Was macht man damit?	What do you do with these?	Was macht man _____?	Was macht man <b>damit</b>?
224	vielleicht	Sie kommt vielleicht.	She might come.	Sie kommt _____.	Sie kommt <b>vielleicht</b>.
224	vielleicht	Vielleicht kann ich helfen.	Maybe I can help.	_____ kann ich helfen.	<b>Vielleicht</b> kann ich helfen.
225	ganz	Bist du ganz allein?	Are you all alone?	Bist du _____ allein?	Bist du <b>ganz</b> allein?
225	ganz	Ganz wie du willst.	Suit yourself.	_____ wie du willst.	<b>Ganz</b> wie du willst.
226	meiner	Hier ist dein Hund. Wo ist meiner?	Here is your dog. Where is mine?	Hier ist dein Hund. Wo ist _____?	Hier ist dein Hund. Wo ist <b>meiner</b>?
226	meiner	Ich muss meiner Mutter helfen.	I have to help my mother.	Ich muss _____ Mutter helfen.	Ich muss <b>meiner</b> Mutter helfen.
227	problem	Kein Problem!	No problem at all!	Kein _____!	Kein <b>Problem</b>!
227	problem	Was ist das Problem?	What's wrong?	Was ist das _____?	Was ist das <b>Problem</b>?
228	glücklich	Er ist glücklich.	He is happy.	Er ist _____.	Er ist <b>glücklich</b>.
228	glücklich	Macht Geld glücklich?	Does money bring happiness?	Macht Geld _____?	Macht Geld <b>glücklich</b>?
229	oft	Ich habe ihn oft gesehen.	I have seen him many times.	Ich habe ihn _____ gesehen.	Ich habe ihn <b>oft</b> gesehen.
229	oft	Tun Sie das oft?	Do you do that often?	Tun Sie das _____?	Tun Sie das <b>oft</b>?
230	fragen	Gibt es Fragen?	Are there any questions?	Gibt es _____?	Gibt es <b>Fragen</b>?
230	fragen	Ich werde ihn fragen.	I'll ask him.	Ich werde ihn _____.	Ich werde ihn <b>fragen</b>.
234	selbst	Ich kann es selbst.	I can do it myself.	Ich kann es _____.	Ich kann es <b>selbst</b>.
234	selbst	Sei du selbst.	Be yourself.	Sei du _____.	Sei du <b>selbst</b>.
235	darüber	Denke darüber nach.	Think about it.	Denke _____ nach.	Denke <b>darüber</b> nach.
239	davon	Ich weiß davon.	I know about that.	Ich weiß _____.	Ich weiß <b>davon</b>.
239	davon	Was hast du davon?	What are you getting out of this?	Was hast du _____?	Was hast du <b>davon</b>?
240	jemand	Ist da jemand?	Is somebody there?	Ist da _____?	Ist da <b>jemand</b>?
240	jemand	Kam jemand?	Did anyone come?	Kam _____?	Kam <b>jemand</b>?
241	frau	Hast du eine Frau?	Do you have a wife?	Hast du eine _____?	Hast du eine <b>Frau</b>?
241	frau	Wer ist diese Frau?	Who is this woman?	Wer ist diese _____?	Wer ist diese <b>Frau</b>?
242	mädchen	Du bist mein Mädchen.	You're my woman.	Du bist mein _____.	Du bist mein <b>Mädchen</b>.
242	mädchen	Ich mag Mädchen.	I like girls.	Ich mag _____.	Ich mag <b>Mädchen</b>.
244	recht	Hat er recht?	Is he correct?	Hat er _____?	Hat er <b>recht</b>?
244	recht	Macht geht vor Recht.	Might makes right.	Macht geht vor _____.	Macht geht vor <b>Recht</b>.
246	leute	Was macht ihr Leute?	What are you people doing?	Was macht ihr _____?	Was macht ihr <b>Leute</b>?
248	bleiben	Bleiben Sie weg.	Keep away.	_____ Sie weg.	<b>Bleiben</b> Sie weg.
248	bleiben	Wir bleiben.	We're staying.	Wir _____.	Wir <b>bleiben</b>.
249	tür	Die Tür ist auf.	The door is open.	Die _____ ist auf.	Die <b>Tür</b> ist auf.
250	freund	Er ist ihr Freund.	He is her friend.	Er ist ihr _____.	Er ist ihr <b>Freund</b>.
250	freund	Wo ist dein Freund?	Where's your boyfriend?	Wo ist dein _____?	Wo ist dein <b>Freund</b>?
252	spielen	Ich will spielen.	I want to play.	Ich will _____.	Ich will <b>spielen</b>.
254	reden	Nicht reden!	Don't talk!	Nicht _____!	Nicht <b>reden</b>!
254	reden	Reden Sie mit mir?	Are you speaking to me?	_____ Sie mit mir?	<b>Reden</b> Sie mit mir?
255	englisch	Ich mag Englisch.	I like English.	Ich mag _____.	Ich mag <b>Englisch</b>.
256	fahren	Sie fahren.	You drive.	Sie _____.	Sie <b>fahren</b>.
256	fahren	Wir fahren nach Boston.	We're going to Boston.	Wir _____ nach Boston.	Wir <b>fahren</b> nach Boston.
257	woche	Das war eine lange Woche.	This has been a long week.	Das war eine lange _____.	Das war eine lange <b>Woche</b>.
258	schnell	Er ist schnell.	He's fast.	Er ist _____.	Er ist <b>schnell</b>.
258	schnell	Kommt schnell!	Come quickly.	Kommt _____!	Kommt <b>schnell</b>!
259	gute	Sie sind gute Leute.	They are good people.	Sie sind _____ Leute.	Sie sind <b>gute</b> Leute.
260	warten	Er wird warten.	He will wait.	Er wird _____.	Er wird <b>warten</b>.
262	glauben	Glauben Sie das?	Do you think so?	_____ Sie das?	<b>Glauben</b> Sie das?
262	glauben	Nicht zu glauben!	Unbelievable!	Nicht zu _____!	Nicht zu <b>glauben</b>!
263	lesen	Er kann lesen.	He can read.	Er kann _____.	Er kann <b>lesen</b>.
263	lesen	Ich muss etwas lesen.	I have some reading to do.	Ich muss etwas _____.	Ich muss etwas <b>lesen</b>.
264	fast	Es ist fast drei.	It is almost three.	Es ist _____ drei.	Es ist <b>fast</b> drei.
264	fast	Ich weiß fast nichts.	I know next to nothing.	Ich weiß _____ nichts.	Ich weiß <b>fast</b> nichts.
265	nacht	Gute Nacht!	Good night.	Gute _____!	Gute <b>Nacht</b>!
265	nacht	Wir gehen heute Nacht.	We're leaving tonight.	Wir gehen heute _____.	Wir gehen heute <b>Nacht</b>.
266	fehler	Das ist ein Fehler.	This is a mistake.	Das ist ein _____.	Das ist ein <b>Fehler</b>.
266	fehler	Sie hat auch Fehler.	She has faults, too.	Sie hat auch _____.	Sie hat auch <b>Fehler</b>.
267	beim	Er ist immer beim Lernen.	He is always studying.	Er ist immer _____ Lernen.	Er ist immer <b>beim</b> Lernen.
269	unter	Sind wir unter uns?	Are we alone?	Sind wir _____ uns?	Sind wir <b>unter</b> uns?
269	unter	Wo kommt ihr in Boston unter?	Where will you stay when you go to Boston?	Wo kommt ihr in Boston _____?	Wo kommt ihr in Boston <b>unter</b>?
270	zusammen	Seid ihr noch zusammen?	Are you guys still dating each other?	Seid ihr noch _____?	Seid ihr noch <b>zusammen</b>?
270	zusammen	Sie sind gerne zusammen.	They enjoy one another's company.	Sie sind gerne _____.	Sie sind gerne <b>zusammen</b>.
270	zusammen	Wir gehen zusammen.	We'll go together.	Wir gehen _____.	Wir gehen <b>zusammen</b>.
271	gegangen	Niemand ist gegangen.	No one left.	Niemand ist _____.	Niemand ist <b>gegangen</b>.
271	gegangen	Sind sie gegangen?	Have they gone?	Sind sie _____?	Sind sie <b>gegangen</b>?
272	wohl	Das ist wohl gut.	I guess that's good.	Das ist _____ gut.	Das ist <b>wohl</b> gut.
272	wohl	Du solltest wohl besser gehen.	You should probably go.	Du solltest _____ besser gehen.	Du solltest <b>wohl</b> besser gehen.
273	hören	Kannst du es hören?	Can you hear it?	Kannst du es _____?	Kannst du es <b>hören</b>?
273	hören	Sie hören zu.	They're listening.	Sie _____ zu.	Sie <b>hören</b> zu.
274	menschen	Menschen machen Fehler.	People make mistakes.	_____ machen Fehler.	<b>Menschen</b> machen Fehler.
275	gekommen	Er ist gekommen!	He has come!	Er ist _____!	Er ist <b>gekommen</b>!
275	gekommen	Wann bist du nach Hause gekommen?	When did you get home?	Wann bist du nach Hause _____?	Wann bist du nach Hause <b>gekommen</b>?
276	jahr	Was für ein Jahr ist es?	What year is it?	Was für ein _____ ist es?	Was für ein <b>Jahr</b> ist es?
277	genug	Das ist genug.	That will do.	Das ist _____.	Das ist <b>genug</b>.
277	genug	Du weißt genug.	You know enough.	Du weißt _____.	Du weißt <b>genug</b>.
278	stadt	Ich gehe in die Stadt.	I'm going downtown.	Ich gehe in die _____.	Ich gehe in die <b>Stadt</b>.
279	abend	Was essen wir zu Abend?	What are we having for supper?	Was essen wir zu _____?	Was essen wir zu <b>Abend</b>?
279	abend	Wie wäre es mit heute Abend?	How about tonight?	Wie wäre es mit heute _____?	Wie wäre es mit heute <b>Abend</b>?
280	zug	Da kommt der Zug.	Here comes the train.	Da kommt der _____.	Da kommt der <b>Zug</b>.
280	zug	Du bist am Zug.	It's your turn.	Du bist am _____.	Du bist am <b>Zug</b>.
282	kaufen	Hier kaufen viele ein.	Many people shop here.	Hier _____ viele ein.	Hier <b>kaufen</b> viele ein.
282	kaufen	Was soll ich kaufen?	What should I buy?	Was soll ich _____?	Was soll ich <b>kaufen</b>?
283	alt	Er ist alt.	He is old.	Er ist _____.	Er ist <b>alt</b>.
284	schwer	Das ist schwer.	This is difficult.	Das ist _____.	Das ist <b>schwer</b>.
284	schwer	Das sieht nicht so schwer aus.	That seems simple enough.	Das sieht nicht so _____ aus.	Das sieht nicht so <b>schwer</b> aus.
285	durch	Hast du das Buch durch?	Are you through with the book?	Hast du das Buch _____?	Hast du das Buch <b>durch</b>?
286	spät	Es ist spät.	It's already late.	Es ist _____.	Es ist <b>spät</b>.
288	wahr	Es ist wahr.	It's true.	Es ist _____.	Es ist <b>wahr</b>.
288	wahr	Sie haben einen Hund, nicht wahr?	You have a dog, don't you?	Sie haben einen Hund, nicht _____?	Sie haben einen Hund, nicht <b>wahr</b>?
289	beschäftigt	Er war beschäftigt.	He was busy.	Er war _____.	Er war <b>beschäftigt</b>.
289	beschäftigt	Ich bin beschäftigt.	I have things to do.	Ich bin _____.	Ich bin <b>beschäftigt</b>.
290	bruder	Er ist mein Bruder.	He is my brother.	Er ist mein _____.	Er ist mein <b>Bruder</b>.
292	gekauft	Ich habe es gekauft.	I bought it.	Ich habe es _____.	Ich habe es <b>gekauft</b>.
293	bekommen	Das Essen ist ihm nicht bekommen.	The food disagreed with him.	Das Essen ist ihm nicht _____.	Das Essen ist ihm nicht <b>bekommen</b>.
293	bekommen	Ich habe es bekommen.	I got it.	Ich habe es _____.	Ich habe es <b>bekommen</b>.
293	bekommen	Was bekommen Sie?	What are you going to have?	Was _____ Sie?	Was <b>bekommen</b> Sie?
294	wasser	Ich will Wasser.	I want some water.	Ich will _____.	Ich will <b>Wasser</b>.
295	letzte	Sie wurde Letzte.	She came last.	Sie wurde _____.	Sie wurde <b>Letzte</b>.
297	dazu	Das gehört dazu.	That's part of it.	Das gehört _____.	Das gehört <b>dazu</b>.
297	dazu	Dazu hast du kein Recht.	You don't have the right.	_____ hast du kein Recht.	<b>Dazu</b> hast du kein Recht.
298	fertig	Er wird nicht damit fertig.	He can't handle it.	Er wird nicht damit _____.	Er wird nicht damit <b>fertig</b>.
298	fertig	Ich bin fertig.	I'm finished.	Ich bin _____.	Ich bin <b>fertig</b>.
299	liebe	Hast du etwas gesagt, meine Liebe?	Did you say something, dear?	Hast du etwas gesagt, meine _____?	Hast du etwas gesagt, meine <b>Liebe</b>?
299	liebe	Ich liebe es!	I love it!	Ich _____ es!	Ich <b>liebe</b> es!
300	kaffee	Ich mag Kaffee.	I love coffee.	Ich mag _____.	Ich mag <b>Kaffee</b>.
301	eltern	Wo sind die Eltern?	Where are the parents?	Wo sind die _____?	Wo sind die <b>Eltern</b>?
302	finden	Wie finden wir es?	How do we find it?	Wie _____ wir es?	Wie <b>finden</b> wir es?
304	daran	Daran denke ich nicht.	I don't think about that.	_____ denke ich nicht.	<b>Daran</b> denke ich nicht.
305	unsere	Das sind unsere.	These are ours.	Das sind _____.	Das sind <b>unsere</b>.
308	familie	Sie sind Familie.	They're family.	Sie sind _____.	Sie sind <b>Familie</b>.
309	bald	Kommen Sie bald.	Come soon.	Kommen Sie _____.	Kommen Sie <b>bald</b>.
309	bald	Wirst du es bald tun?	Are you about to do it?	Wirst du es _____ tun?	Wirst du es <b>bald</b> tun?
310	junge	Wo ist der Junge?	Where is the boy?	Wo ist der _____?	Wo ist der <b>Junge</b>?
311	brief	Der Brief kam zurück.	The letter returned.	Der _____ kam zurück.	Der <b>Brief</b> kam zurück.
312	treffen	Er wollte Sie treffen.	He wanted to meet you.	Er wollte Sie _____.	Er wollte Sie <b>treffen</b>.
312	treffen	Treffen wir uns doch morgen.	Let's get together tomorrow.	_____ wir uns doch morgen.	<b>Treffen</b> wir uns doch morgen.
312	treffen	Wann ist das Treffen?	What time is the meeting?	Wann ist das _____?	Wann ist das <b>Treffen</b>?
314	gefunden	Er hat es gefunden.	He found it.	Er hat es _____.	Er hat es <b>gefunden</b>.
315	bett	Geht ins Bett!	Go to bed.	Geht ins _____!	Geht ins <b>Bett</b>!
316	vergessen	Vergessen Sie ihn.	Forget him.	_____ Sie ihn.	<b>Vergessen</b> Sie ihn.
317	angst	Ich habe Angst.	I am afraid.	Ich habe _____.	Ich habe <b>Angst</b>.
318	brauchen	Sie brauchen es.	You need it.	Sie _____ es.	Sie <b>brauchen</b> es.
318	brauchen	Warum brauchen sie mich?	Why do they want me?	Warum _____ sie mich?	Warum <b>brauchen</b> sie mich?
319	lehrer	Er ist Lehrer.	He is a teacher.	Er ist _____.	Er ist <b>Lehrer</b>.
320	denn	Gefällt es dir denn?	Do you like it then?	Gefällt es dir _____?	Gefällt es dir <b>denn</b>?
320	denn	Was hat er denn?	What's wrong with him?	Was hat er _____?	Was hat er <b>denn</b>?
321	nehmen	Nehmen Sie es.	Take it.	_____ Sie es.	<b>Nehmen</b> Sie es.
321	nehmen	Nehmen Sie noch eine.	Have another.	_____ Sie noch eine.	<b>Nehmen</b> Sie noch eine.
322	weil	Ich gehe, weil ich gehen will.	I'm going because I want to.	Ich gehe, _____ ich gehen will.	Ich gehe, <b>weil</b> ich gehen will.
324	ganze	Das ganze Geld war weg.	All the money was gone.	Das _____ Geld war weg.	Das <b>ganze</b> Geld war weg.
325	gewesen	Wo bist du gewesen?	Where have you been?	Wo bist du _____?	Wo bist du <b>gewesen</b>?
327	dann	Sind wir dann durch?	Are we done?	Sind wir _____ durch?	Sind wir <b>dann</b> durch?
327	dann	Was passiert dann?	What happens next?	Was passiert _____?	Was passiert <b>dann</b>?
329	schön	Bitte schön!	Here you are.	Bitte _____!	Bitte <b>schön</b>!
331	verloren	Sie verloren.	They lost.	Sie _____.	Sie <b>verloren</b>.
331	verloren	Wir sind verloren!	We're doomed.	Wir sind _____!	Wir sind <b>verloren</b>!
332	schwester	Wo ist Ihre Schwester?	Where is your sister?	Wo ist Ihre _____?	Wo ist Ihre <b>Schwester</b>?
333	augen	Gehe mir aus den Augen!	Get out of my sight!	Gehe mir aus den _____!	Gehe mir aus den <b>Augen</b>!
333	augen	Macht die Augen zu.	Close your eyes.	Macht die _____ zu.	Macht die <b>Augen</b> zu.
334	ihrer	Das ist ihrer.	This is theirs.	Das ist _____.	Das ist <b>ihrer</b>.
334	ihrer	Sie kommt nach ihrer Mutter.	She takes after her mother.	Sie kommt nach _____ Mutter.	Sie kommt nach <b>ihrer</b> Mutter.
334	ihrer	Was ist mit Ihrer Frau?	What about your wife?	Was ist mit _____ Frau?	Was ist mit <b>Ihrer</b> Frau?
335	jeder	Das kann jeder.	Anybody can do this.	Das kann _____.	Das kann <b>jeder</b>.
335	jeder	Jeder will Geld.	Everyone wants money.	_____ will Geld.	<b>Jeder</b> will Geld.
